Areaname,STCOU,PST045202D
"Wabash, IN",18169,34357
"Warren, IN",18171,8605
"Warrick, IN",18173,53150
"Washington, IN",18175,27582
"Wayne, IN",18177,70163
"Wells, IN",18179,27719
"White, IN",18181,24952
"Whitley, IN",18183,31272
IOWA,19000,2929264
"Adair, IA",19001,7964
"Adams, IA",19003,4350
"Allamakee, IA",19005,14309
"Appanoose, IA",19007,13377
"Audubon, IA",19009,6549
"Benton, IA",19011,25991
"Black Hawk, IA",19013,126628
"Boone, IA",19015,26032
"Bremer, IA",19017,23202
"Buchanan, IA",19019,20761
"Buena Vista, IA",19021,20142
"Butler, IA",19023,14826
"Calhoun, IA",19025,10719
"Carroll, IA",19027,21138
"Cass, IA",19029,14214
"Cedar, IA",19031,18049
"Cerro Gordo, IA",19033,45263
"Cherokee, IA",19035,12530
"Chickasaw, IA",19037,12763
"Clarke, IA",19039,9168
"Clay, IA",19041,17071
"Clayton, IA",19043,18211
"Clinton, IA",19045,49614
"Crawford, IA",19047,16847
"Dallas, IA",19049,44324
"Davis, IA",19051,8565
"Decatur, IA",19053,8543
"Delaware, IA",19055,18123
"Des Moines, IA",19057,41307
"Dickinson, IA",19059,16343
"Dubuque, IA",19061,89218
"Emmet, IA",19063,10795
"Fayette, IA",19065,21424
"Floyd, IA",19067,16589
"Franklin, IA",19069,10636
"Fremont, IA",19071,7766
"Greene, IA",19073,10092
"Grundy, IA",19075,12303
"Guthrie, IA",19077,11214
"Hamilton, IA",19079,16204
"Hancock, IA",19081,11760
"Hardin, IA",19083,18419
"Harrison, IA",19085,15497
"Henry, IA",19087,19967
"Howard, IA",19089,9794
"Humboldt, IA",19091,10073
"Ida, IA",19093,7550
"Iowa, IA",19095,15756
"Jackson, IA",19097,20116
"Jasper, IA",19099,37366
"Jefferson, IA",19101,15806
"Johnson, IA",19103,115560
"Jones, IA",19105,20150
"Keokuk, IA",19107,11341
"Kossuth, IA",19109,16499
"Lee, IA",19111,36858
"Linn, IA",19113,195918
"Louisa, IA",19115,12195
"Lucas, IA",19117,9438
"Lyon, IA",19119,11581
"Madison, IA",19121,14315
"Mahaska, IA",19123,22309
"Marion, IA",19125,32412
"Marshall, IA",19127,39033
"Mills, IA",19129,14533
"Mitchell, IA",19131,10826
"Monona, IA",19133,9705
"Monroe, IA",19135,7793
"Montgomery, IA",19137,11300
"Muscatine, IA",19139,41803
"O'Brien, IA",19141,14681
"Osceola, IA",19143,6849
"Page, IA",19145,16425
"Palo Alto, IA",19147,9843
"Plymouth, IA",19149,24552
"Pocahontas, IA",19151,8336
"Polk, IA",19153,385838
"Pottawattamie, IA",19155,87944
"Poweshiek, IA",19157,18755
"Ringgold, IA",19159,5294
"Sac, IA",19161,11040
"Scott, IA",19163,158677
"Shelby, IA",19165,12836
"Sioux, IA",19167,31795
"Story, IA",19169,81612
"Tama, IA",19171,17901
"Taylor, IA",19173,6810
"Union, IA",19175,12083
"Van Buren, IA",19177,7736
"Wapello, IA",19179,35803
"Warren, IA",19181,41282
"Washington, IA",19183,20982
"Wayne, IA",19185,6635
"Webster, IA",19187,39672
"Winnebago, IA",19189,11329
"Winneshiek, IA",19191,21123
"Woodbury, IA",19193,102981
"Worth, IA",19195,7794
"Wright, IA",19197,13819
KANSAS,20000,2712598
"Allen, KS",20001,14067
"Anderson, KS",20003,8090
"Atchison, KS",20005,16699
"Barber, KS",20007,5023
"Barton, KS",20009,27861
"Bourbon, KS",20011,15153
"Brown, KS",20013,10389
"Butler, KS",20015,60119
"Chase, KS",20017,3020
"Chautauqua, KS",20019,4192
"Cherokee, KS",20021,22043
"Cheyenne, KS",20023,3016
"Clark, KS",20025,2320
"Clay, KS",20027,8645
"Cloud, KS",20029,9883
"Coffey, KS",20031,8727
"Comanche, KS",20033,1955
"Cowley, KS",20035,36051
"Crawford, KS",20037,38276
"Decatur, KS",20039,3351
"Dickinson, KS",20041,18965
"Doniphan, KS",20043,8124
"Douglas, KS",20045,104408
"Edwards, KS",20047,3313
"Elk, KS",20049,3164
"Ellis, KS",20051,27407
"Ellsworth, KS",20053,6357
"Finney, KS",20055,40155
"Ford, KS",20057,32150
"Franklin, KS",20059,25495
"Geary, KS",20061,28174
"Gove, KS",20063,2958
"Graham, KS",20065,2842
"Grant, KS",20067,7809
"Gray, KS",20069,5978
"Greeley, KS",20071,1437
"Greenwood, KS",20073,7570
"Hamilton, KS",20075,2667
"Harper, KS",20077,6224
"Harvey, KS",20079,33190
"Haskell, KS",20081,4153
"Hodgeman, KS",20083,2140
"Jackson, KS",20085,12840
"Jefferson, KS",20087,18480
"Jewell, KS",20089,3496
"Johnson, KS",20091,475918
"Kearny, KS",20093,4447
"Kingman, KS",20095,8392
"Kiowa, KS",20097,3101
"Labette, KS",20099,22248
"Lane, KS",20101,1972
"Leavenworth, KS",20103,70756
"Lincoln, KS",20105,3482
"Linn, KS",20107,9664
"Logan, KS",20109,2927
"Lyon, KS",20111,35749
"McPherson, KS",20113,29211
"Marion, KS",20115,13129
"Marshall, KS",20117,10590
"Meade, KS",20119,4637
"Miami, KS",20121,28735
"Mitchell, KS",20123,6685
"Montgomery, KS",20125,35154
"Morris, KS",20127,5982
"Morton, KS",20129,3336
"Nemaha, KS",20131,10449
"Neosho, KS",20133,16609
"Ness, KS",20135,3299
"Norton, KS",20137,5760
"Osage, KS",20139,16650
"Osborne, KS",20141,4261
"Ottawa, KS",20143,6148
"Pawnee, KS",20145,6874
"Phillips, KS",20147,5751
"Pottawatomie, KS",20149,18324
"Pratt, KS",20151,9579
"Rawlins, KS",20153,2846
"Reno, KS",20155,63961
"Republic, KS",20157,5421
"Rice, KS",20159,10517
"Riley, KS",20161,63755
"Rooks, KS",20163,5452
"Rush, KS",20165,3423
"Russell, KS",20167,7007
"Saline, KS",20169,53988
"Scott, KS",20171,4900
"Sedgwick, KS",20173,459961
"Seward, KS",20175,22702
"Shawnee, KS",20177,170349
"Sheridan, KS",20179,2636
"Sherman, KS",20181,6359
"Smith, KS",20183,4291
"Stafford, KS",20185,4627
"Stanton, KS",20187,2413
"Stevens, KS",20189,5330
"Sumner, KS",20191,25352
"Thomas, KS",20193,8031
"Trego, KS",20195,3136
"Wabaunsee, KS",20197,6705
"Wallace, KS",20199,1662
"Washington, KS",20201,6219
"Wichita, KS",20203,2426
"Wilson, KS",20205,10103
"Woodson, KS",20207,3595
"Wyandotte, KS",20209,157236
KENTUCKY,21000,4091330
"Adair, KY",21001,17575
"Allen, KY",21003,18034
"Anderson, KY",21005,19434
"Ballard, KY",21007,8151
"Barren, KY",21009,38599
"Bath, KY",21011,11417
"Bell, KY",21013,29784
"Boone, KY",21015,93362
"Bourbon, KY",21017,19381
"Boyd, KY",21019,49440
"Boyle, KY",21021,27723
"Bracken, KY",21023,8450
"Breathitt, KY",21025,15772
"Breckinridge, KY",21027,18834
"Bullitt, KY",21029,64823
"Butler, KY",21031,13149
"Caldwell, KY",21033,12792
"Calloway, KY",21035,34404
"Campbell, KY",21037,88292
"Carlisle, KY",21039,5319
"Carroll, KY",21041,10270
"Carter, KY",21043,27094
"Casey, KY",21045,15801
"Christian, KY",21047,76031
"Clark, KY",21049,33522
"Clay, KY",21051,24488
"Clinton, KY",21053,9572
"Crittenden, KY",21055,9168
"Cumberland, KY",21057,7115
"Daviess, KY",21059,91639
"Edmonson, KY",21061,11771
"Elliott, KY",21063,6724
"Estill, KY",21065,15234
"Fayette, KY",21067,266953
"Fleming, KY",21069,14168
"Floyd, KY",21071,42216
"Franklin, KY",21073,48179
"Fulton, KY",21075,7569
"Gallatin, KY",21077,7833
"Garrard, KY",21079,15546
"Grant, KY",21081,23518
"Graves, KY",21083,36980
"Grayson, KY",21085,24216
"Green, KY",21087,11589
"Greenup, KY",21089,36780
"Hancock, KY",21091,8440
"Hardin, KY",21093,95071
"Harlan, KY",21095,32326
"Harrison, KY",21097,17992
"Hart, KY",21099,17604
"Henderson, KY",21101,44940
"Henry, KY",21103,15253
"Hickman, KY",21105,5216
"Hopkins, KY",21107,46222
"Jackson, KY",21109,13523
"Jefferson, KY",21111,696233
"Jessamine, KY",21113,40649
"Johnson, KY",21115,23360
"Kenton, KY",21117,151720
"Knott, KY",21119,17613
"Knox, KY",21121,31545
"Larue, KY",21123,13420
"Laurel, KY",21125,54297
"Lawrence, KY",21127,15794
"Lee, KY",21129,7841
"Leslie, KY",21131,12188
"Letcher, KY",21133,24762
"Lewis, KY",21135,13701
"Lincoln, KY",21137,23970
"Livingston, KY",21139,9764
"Logan, KY",21141,26660
"Lyon, KY",21143,8131
"McCracken, KY",21145,64616
"McCreary, KY",21147,17057
"McLean, KY",21149,9936
"Madison, KY",21151,73802
"Magoffin, KY",21153,13237
"Marion, KY",21155,18441
"Marshall, KY",21157,30211
"Martin, KY",21159,12379
"Mason, KY",21161,16809
"Meade, KY",21163,27190
"Menifee, KY",21165,6734
"Mercer, KY",21167,21036
"Metcalfe, KY",21169,9968
"Monroe, KY",21171,11728
"Montgomery, KY",21173,23159
"Morgan, KY",21175,14187
"Muhlenberg, KY",21177,31598
"Nelson, KY",21179,38813
"Nicholas, KY",21181,6949
"Ohio, KY",21183,23074
"Oldham, KY",21185,48979
"Owen, KY",21187,10868
"Owsley, KY",21189,4742
"Pendleton, KY",21191,14721
"Perry, KY",21193,29319
"Pike, KY",21195,67449
"Powell, KY",21197,13272
"Pulaski, KY",21199,57108
"Robertson, KY",21201,2277
"Rockcastle, KY",21203,16559
"Rowan, KY",21205,22263
"Russell, KY",21207,16409
"Scott, KY",21209,35499
"Shelby, KY",21211,34812
"Simpson, KY",21213,16595
"Spencer, KY",21215,13415
"Taylor, KY",21217,23373
"Todd, KY",21219,11946
"Trigg, KY",21221,12689
"Trimble, KY",21223,8549
"Union, KY",21225,15596
"Warren, KY",21227,94777
"Washington, KY",21229,11115
"Wayne, KY",21231,20069
"Webster, KY",21233,14002
"Whitley, KY",21235,36669
"Wolfe, KY",21237,6937
"Woodford, KY",21239,23451
LOUISIANA,22000,4466068
"Acadia, LA",22001,58799
"Allen, LA",22003,25113
"Ascension, LA",22005,81278
"Assumption, LA",22007,23117
"Avoyelles, LA",22009,41366
"Beauregard, LA",22011,33078
"Bienville, LA",22013,15342
"Bossier, LA",22015,100734
"Caddo, LA",22017,249820
"Calcasieu, LA",22019,182842
"Caldwell, LA",22021,10503
"Cameron, LA",22023,9736
"Catahoula, LA",22025,10659
"Claiborne, LA",22027,16482
"Concordia, LA",22029,19735
"De Soto, LA",22031,25586
"East Baton Rouge, LA",22033,410438
"East Carroll, LA",22035,8977
"East Feliciana, LA",22037,21025
"Evangeline, LA",22039,35165
"Franklin, LA",22041,20726
"Grant, LA",22043,18670
"Iberia, LA",22045,73345
"Iberville, LA",22047,33031
"Jackson, LA",22049,15207
"Jefferson, LA",22051,451453
"Jefferson Davis, LA",22053,30946
"Lafayette, LA",22055,192775
"Lafourche, LA",22057,90666
"La Salle, LA",22059,14187
"Lincoln, LA",22061,41993
"Livingston, LA",22063,98305
"Madison, LA",22065,13027
"Morehouse, LA",22067,30362
"Natchitoches, LA",22069,39030
"Orleans, LA",22071,472744
"Ouachita, LA",22073,147335
"Plaquemines, LA",22075,27119
"Pointe Coupee, LA",22077,22347
"Rapides, LA",22079,126467
"Red River, LA",22081,9434
"Richland, LA",22083,20720
"Sabine, LA",22085,23290
"St. Bernard, LA",22087,66286
"St. Charles, LA",22089,48960
"St. Helena, LA",22091,10429
"St. James, LA",22093,21097
"St. John the Baptist, LA",22095,43955
"St. Landry, LA",22097,87787
"St. Martin, LA",22099,49340
"St. Mary, LA",22101,52189
"St. Tammany, LA",22103,200873
"Tangipahoa, LA",22105,102303
"Tensas, LA",22107,6336
"Terrebonne, LA",22109,104923
"Union, LA",22111,22642
"Vermilion, LA",22113,54223
"Vernon, LA",22115,51533
"Washington, LA",22117,43767
"Webster, LA",22119,41243
"West Baton Rouge, LA",22121,21644
"West Carroll, LA",22123,12076
"West Feliciana, LA",22125,15061
"Winn, LA",22127,16427
MAINE,23000,1293938
"Androscoggin, ME",23001,104873
"Aroostook, ME",23003,72777
"Cumberland, ME",23005,269830
"Franklin, ME",23007,29808
"Hancock, ME",23009,52047
"Kennebec, ME",23011,118423
"Knox, ME",23013,40444
"Lincoln, ME",23015,34259
"Oxford, ME",23017,55485
"Penobscot, ME",23019,146249
"Piscataquis, ME",23021,17132
"Sagadahoc, ME",23023,35802
"Somerset, ME",23025,50775
"Waldo, ME",23027,37518
"Washington, ME",23029,33182
"York, ME",23031,195334
MARYLAND,24000,5439913
"Allegany, MD",24001,73728
"Anne Arundel, MD",24003,502574
"Baltimore, MD",24005,768275
"Calvert, MD",24009,80396
"Caroline, MD",24011,30169
"Carroll, MD",24013,158644
"Cecil, MD",24015,90059
"Charles, MD",24017,127796
"Dorchester, MD",24019,30428
"Frederick, MD",24021,208593
"Garrett, MD",24023,29821
"Harford, MD",24025,226862
"Howard, MD",24027,259379
"Kent, MD",24029,19491
"Montgomery, MD",24031,906145
"Prince George's, MD",24033,824290
"Queen Anne's, MD",24035,42600
"St. Mary's, MD",24037,89897
"Somerset, MD",24039,25373
"Talbot, MD",24041,34360
"Washington, MD",24043,134583
"Wicomico, MD",24045,85995
"Worcester, MD",24047,48209
"Baltimore city, MD",24510,642246
MASSACHUSETTS,25000,6440978
"Barnstable, MA",25001,226893
"Berkshire, MA",25003,133101
"Bristol, MA",25005,542717
"Dukes, MA",25007,15380
"Essex, MA",25009,733096
"Franklin, MA",25011,71830
"Hampden, MA",25013,460848
"Hampshire, MA",25015,153011
"Middlesex, MA",25017,1473966
"Nantucket, MA",25019,10076
"Norfolk, MA",25021,654144
"Plymouth, MA",25023,483209
"Suffolk, MA",25025,711464
"Worcester, MA",25027,771243
MICHIGAN,26000,10038767
"Alcona, MI",26001,11504
"Alger, MI",26003,9736
"Allegan, MI",26005,108798
"Alpena, MI",26007,30845
"Antrim, MI",26009,23757
"Arenac, MI",26011,17182
"Baraga, MI",26013,8817
"Barry, MI",26015,57842
"Bay, MI",26017,109584
"Benzie, MI",26019,16719
"Berrien, MI",26021,161541
"Branch, MI",26023,46535
"Calhoun, MI",26025,138343
"Cass, MI",26027,51023
"Charlevoix, MI",26029,26469
"Cheboygan, MI",26031,27102
"Chippewa, MI",26033,38620
"Clare, MI",26035,31507
"Clinton, MI",26037,66476
"Crawford, MI",26039,14526
"Delta, MI",26041,38252
"Dickinson, MI",26043,27103
"Eaton, MI",26045,105431
"Emmet, MI",26047,32472
"Genesee, MI",26049,438775
"Gladwin, MI",26051,26746
"Gogebic, MI",26053,17327
"Grand Traverse, MI",26055,80984
"Gratiot, MI",26057,42316
"Hillsdale, MI",26059,46776
"Houghton, MI",26061,35646
"Huron, MI",26063,35255
"Ingham, MI",26065,281135
"Ionia, MI",26067,62906
"Iosco, MI",26069,26888
"Iron, MI",26071,12688
"Isabella, MI",26073,64218
"Jackson, MI",26075,160791
"Kalamazoo, MI",26077,241789
"Kalkaska, MI",26079,16884
"Kent, MI",26081,586423
"Keweenaw, MI",26083,2248
"Lake, MI",26085,11466
"Lapeer, MI",26087,90277
"Leelanau, MI",26089,21551
"Lenawee, MI",26091,100167
"Livingston, MI",26093,168120
"Luce, MI",26095,7003
"Mackinac, MI",26097,11558
"Macomb, MI",26099,807022
"Manistee, MI",26101,24874
"Marquette, MI",26103,64751
"Mason, MI",26105,28625
"Mecosta, MI",26107,41417
"Menominee, MI",26109,24978
"Midland, MI",26111,83449
"Missaukee, MI",26113,14836
"Monroe, MI",26115,148583
"Montcalm, MI",26117,62337
"Montmorency, MI",26119,10473
"Muskegon, MI",26121,171811
"Newaygo, MI",26123,48704
"Oakland, MI",26125,1199653
"Oceana, MI",26127,27521
"Ogemaw, MI",26129,21704
"Ontonagon, MI",26131,7631
"Osceola, MI",26133,23494
"Oscoda, MI",26135,9351
"Otsego, MI",26137,24050
"Ottawa, MI",26139,246332
"Presque Isle, MI",26141,14193
"Roscommon, MI",26143,25740
"Saginaw, MI",26145,209054
"St. Clair, MI",26147,166774
"St. Joseph, MI",26149,62233
"Sanilac, MI",26151,44460
"Schoolcraft, MI",26153,8731
"Shiawassee, MI",26155,71976
"Tuscola, MI",26157,58038
"Van Buren, MI",26159,77259
"Washtenaw, MI",26161,333619
"Wayne, MI",26163,2054221
"Wexford, MI",26165,30752
MINNESOTA,27000,5017458
"Aitkin, MN",27001,15541
"Anoka, MN",27003,309032
"Becker, MN",27005,30626
"Beltrami, MN",27007,41039
"Benton, MN",27009,36760
"Big Stone, MN",27011,5674
"Blue Earth, MN",27013,56982
"Brown, MN",27015,26837
"Carlton, MN",27017,32440
"Carver, MN",27019,75686
"Cass, MN",27021,27880
"Chippewa, MN",27023,12851
"Chisago, MN",27025,44722
"Clay, MN",27027,51483
"Clearwater, MN",27029,8346
"Cook, MN",27031,5227
"Cottonwood, MN",27033,11960
"Crow Wing, MN",27035,57191
"Dakota, MN",27037,368205
"Dodge, MN",27039,18480
"Douglas, MN",27041,33657
"Faribault, MN",27043,15759
"Fillmore, MN",27045,21228
"Freeborn, MN",27047,31964
"Goodhue, MN",27049,44890
"Grant, MN",27051,6259
"Hennepin, MN",27053,1123225
"Houston, MN",27055,19826
"Hubbard, MN",27057,18454
"Isanti, MN",27059,33757
"Itasca, MN",27061,43848
"Jackson, MN",27063,11124
"Kanabec, MN",27065,15362
"Kandiyohi, MN",27067,40883
"Kittson, MN",27069,5019
"Koochiching, MN",27071,13953
"Lac qui Parle, MN",27073,7842
"Lake, MN",27075,11070
"Lake of the Woods, MN",27077,4289
"Le Sueur, MN",27079,25975
"Lincoln, MN",27081,6203
"Lyon, MN",27083,25014
"McLeod, MN",27085,35459
"Mahnomen, MN",27087,5136
"Marshall, MN",27089,9861
"Martin, MN",27091,21202
"Meeker, MN",27093,22896
"Mille Lacs, MN",27095,23634
"Morrison, MN",27097,32280
"Mower, MN",27099,38498
"Murray, MN",27101,8972
"Nicollet, MN",27103,30432
"Nobles, MN",27105,20479
"Norman, MN",27107,7223
"Olmsted, MN",27109,129222
"Otter Tail, MN",27111,57165
"Pennington, MN",27113,13597
"Pine, MN",27115,27410
"Pipestone, MN",27117,9650
"Polk, MN",27119,30801
"Pope, MN",27121,11189
"Ramsey, MN",27123,510592
"Red Lake, MN",27125,4251
"Redwood, MN",27127,16348
"Renville, MN",27129,16857
"Rice, MN",27131,58399
"Rock, MN",27133,9655
"Roseau, MN",27135,16103
"St. Louis, MN",27137,199722
"Scott, MN",27139,103169
"Sherburne, MN",27141,71994
"Sibley, MN",27143,15283
"Stearns, MN",27145,138376
"Steele, MN",27147,34374
"Stevens, MN",27149,9917
"Swift, MN",27151,11436
"Todd, MN",27153,24247
"Traverse, MN",27155,3918
"Wabasha, MN",27157,21787
"Wadena, MN",27159,13636
"Waseca, MN",27161,19496
"Washington, MN",27163,209254
"Watonwan, MN",27165,11737
"Wilkin, MN",27167,6920
"Winona, MN",27169,49506
"Wright, MN",27171,98072
"Yellow Medicine, MN",27173,10740
MISSISSIPPI,28000,2858643
"Adams, MS",28001,33362
"Alcorn, MS",28003,34746
"Amite, MS",28005,13420
"Attala, MS",28007,19585
"Benton, MS",28009,7835
"Bolivar, MS",28011,39207
"Calhoun, MS",28013,14815
"Carroll, MS",28015,10488
"Chickasaw, MS",28017,19306
"Choctaw, MS",28019,9583
"Claiborne, MS",28021,11543
"Clarke, MS",28023,17690
"Clay, MS",28025,21839
"Coahoma, MS",28027,29846
"Copiah, MS",28029,28698
"Covington, MS",28031,19700
"DeSoto, MS",28033,118344
"Forrest, MS",28035,73550
"Franklin, MS",28037,8203
"George, MS",28039,19855
"Greene, MS",28041,13234
"Grenada, MS",28043,22936
"Hancock, MS",28045,44437
"Harrison, MS",28047,191366
"Hinds, MS",28049,248675
"Holmes, MS",28051,21183
"Humphreys, MS",28053,10682
"Issaquena, MS",28055,2053
"Itawamba, MS",28057,22771
"Jackson, MS",28059,132464
"Jasper, MS",28061,18218
"Jefferson, MS",28063,9555
"Jefferson Davis, MS",28065,13421
"Jones, MS",28067,64931
"Kemper, MS",28069,10434
"Lafayette, MS",28071,39543
"Lamar, MS",28073,40931
"Lauderdale, MS",28075,77606
"Lawrence, MS",28077,13241
"Leake, MS",28079,21691
"Lee, MS",28081,76764
"Leflore, MS",28083,36439
"Lincoln, MS",28085,33295
"Lowndes, MS",28087,60689
"Madison, MS",28089,77994
"Marion, MS",28091,25144
"Marshall, MS",28093,35253
"Monroe, MS",28095,37642
"Montgomery, MS",28097,11891
"Neshoba, MS",28099,28644
"Newton, MS",28101,21706
"Noxubee, MS",28103,12307
"Oktibbeha, MS",28105,42387
"Panola, MS",28107,34762
"Pearl River, MS",28109,50052
"Perry, MS",28111,12213
"Pike, MS",28113,38653
"Pontotoc, MS",28115,27191
"Prentiss, MS",28117,25484
"Quitman, MS",28119,9851
"Rankin, MS",28121,121329
"Scott, MS",28123,28260
"Sharkey, MS",28125,6287
"Simpson, MS",28127,27727
"Smith, MS",28129,15941
"Stone, MS",28131,14017
"Sunflower, MS",28133,33520
"Tallahatchie, MS",28135,14388
"Tate, MS",28137,25502
"Tippah, MS",28139,20915
"Tishomingo, MS",28141,19030
"Tunica, MS",28143,9719
"Union, MS",28145,25795
"Walthall, MS",28147,14958
"Warren, MS",28149,49029
"Washington, MS",28151,60359
"Wayne, MS",28153,21142
"Webster, MS",28155,10154
"Wilkinson, MS",28157,10272
"Winston, MS",28159,19902
"Yalobusha, MS",28161,13372
"Yazoo, MS",28163,27677
MISSOURI,29000,5680852
"Adair, MO",29001,24974
"Andrew, MO",29003,16513
"Atchison, MO",29005,6251
"Audrain, MO",29007,25801
"Barry, MO",29009,34240
"Barton, MO",29011,12771
"Bates, MO",29013,16947
"Benton, MO",29015,17490
"Bollinger, MO",29017,12248
"Boone, MO",29019,139759
"Buchanan, MO",29021,86334
"Butler, MO",29023,40785
"Caldwell, MO",29025,9002
"Callaway, MO",29027,41972
"Camden, MO",29029,37794
"Cape Girardeau, MO",29031,69514
"Carroll, MO",29033,10172
"Carter, MO",29035,5879
"Cass, MO",29037,86955
"Cedar, MO",29039,13816
"Chariton, MO",29041,8236
"Christian, MO",29043,58865
"Clark, MO",29045,7366
"Clay, MO",29047,193068
"Clinton, MO",29049,19580
"Cole, MO",29051,72053
"Cooper, MO",29053,16944
"Crawford, MO",29055,23227
"Dade, MO",29057,7771
"Dallas, MO",29059,15830
"Daviess, MO",29061,7967
"DeKalb, MO",29063,12992
"Dent, MO",29065,14831
"Douglas, MO",29067,13227
"Dunklin, MO",29069,32639
"Franklin, MO",29071,95715
"Gasconade, MO",29073,15391
"Gentry, MO",29075,6610
"Greene, MO",29077,244733
"Grundy, MO",29079,10158
"Harrison, MO",29081,8719
"Henry, MO",29083,22151
"Hickory, MO",29085,8791
"Holt, MO",29087,5137
"Howard, MO",29089,10001
"Howell, MO",29091,37168
"Iron, MO",29093,10443
"Jackson, MO",29095,662174
"Jasper, MO",29097,107051
"Jefferson, MO",29099,202619
"Johnson, MO",29101,49884
"Knox, MO",29103,4248
"Laclede, MO",29105,32849
"Lafayette, MO",29107,32859
"Lawrence, MO",29109,36012
"Lewis, MO",29111,10322
"Lincoln, MO",29113,42187
"Linn, MO",29115,13465
"Livingston, MO",29117,14342
"McDonald, MO",29119,21702
"Macon, MO",29121,15429
"Madison, MO",29123,11839
"Maries, MO",29125,8744
"Marion, MO",29127,28010
"Mercer, MO",29129,3634
"Miller, MO",29131,24097
"Mississippi, MO",29133,13171
"Moniteau, MO",29135,14906
"Monroe, MO",29137,9251
"Montgomery, MO",29139,11975
"Morgan, MO",29141,19687
"New Madrid, MO",29143,19082
"Newton, MO",29145,53048
"Nodaway, MO",29147,21992
"Oregon, MO",29149,10237
"Osage, MO",29151,13037
"Ozark, MO",29153,9410
"Pemiscot, MO",29155,19749
"Perry, MO",29157,18256
"Pettis, MO",29159,39407
"Phelps, MO",29161,40658
"Pike, MO",29163,18307
"Platte, MO",29165,78552
"Polk, MO",29167,27774
"Pulaski, MO",29169,43791
"Putnam, MO",29171,5140
