Areaname,STCOU,PST045202D
"Orangeburg, SC",45075,91138
"Pickens, SC",45077,111596
"Richland, SC",45079,329835
"Saluda, SC",45081,19043
"Spartanburg, SC",45083,259155
"Sumter, SC",45085,104901
"Union, SC",45087,29252
"Williamsburg, SC",45089,36127
"York, SC",45091,173729
SOUTH DAKOTA,46000,762107
"Aurora, SD",46003,2921
"Beadle, SD",46005,16522
"Bennett, SD",46007,3501
"Bon Homme, SD",46009,7093
"Brookings, SD",46011,28539
"Brown, SD",46013,34904
"Brule, SD",46015,5144
"Buffalo, SD",46017,2032
"Butte, SD",46019,8973
"Campbell, SD",46021,1704
"Charles Mix, SD",46023,9147
"Clark, SD",46025,3941
"Clay, SD",46027,13413
"Codington, SD",46029,25873
"Corson, SD",46031,4224
"Custer, SD",46033,7474
"Davison, SD",46035,18727
"Day, SD",46037,6023
"Deuel, SD",46039,4430
"Dewey, SD",46041,6030
"Douglas, SD",46043,3338
"Edmunds, SD",46045,4212
"Fall River, SD",46047,7262
"Faulk, SD",46049,2494
"Grant, SD",46051,7622
"Gregory, SD",46053,4482
"Haakon, SD",46055,2075
"Hamlin, SD",46057,5543
"Hand, SD",46059,3548
"Hanson, SD",46061,3335
"Harding, SD",46063,1283
"Hughes, SD",46065,16551
"Hutchinson, SD",46067,7774
"Hyde, SD",46069,1552
"Jackson, SD",46071,2799
"Jerauld, SD",46073,2199
"Jones, SD",46075,1124
"Kingsbury, SD",46077,5579
"Lake, SD",46079,11108
"Lawrence, SD",46081,21696
"Lincoln, SD",46083,27722
"Lyman, SD",46085,3899
"McCook, SD",46087,5787
"McPherson, SD",46089,2769
"Marshall, SD",46091,4341
"Meade, SD",46093,24404
"Mellette, SD",46095,2045
"Miner, SD",46097,2750
"Minnehaha, SD",46099,155817
"Moody, SD",46101,6504
"Pennington, SD",46103,90831
"Perkins, SD",46105,3242
"Potter, SD",46107,2499
"Roberts, SD",46109,9841
"Sanborn, SD",46111,2569
"Shannon, SD",46113,12982
"Spink, SD",46115,7090
"Stanley, SD",46117,2699
"Sully, SD",46119,1482
"Todd, SD",46121,9369
"Tripp, SD",46123,6234
"Turner, SD",46125,8569
"Union, SD",46127,12815
"Walworth, SD",46129,5662
"Yankton, SD",46135,21482
"Ziebach, SD",46137,2512
TENNESSEE,47000,5803306
"Anderson, TN",47001,71354
"Bedford, TN",47003,39185
"Benton, TN",47005,16479
"Bledsoe, TN",47007,12457
"Blount, TN",47009,109512
"Bradley, TN",47011,89557
"Campbell, TN",47013,39839
"Cannon, TN",47015,12961
"Carroll, TN",47017,29215
"Carter, TN",47019,56830
"Cheatham, TN",47021,36940
"Chester, TN",47023,15857
"Claiborne, TN",47025,30038
"Clay, TN",47027,7945
"Cocke, TN",47029,33982
"Coffee, TN",47031,49013
"Crockett, TN",47033,14462
"Cumberland, TN",47035,48597
"Davidson, TN",47037,581978
"Decatur, TN",47039,11604
"DeKalb, TN",47041,17734
"Dickson, TN",47043,44344
"Dyer, TN",47045,37068
"Fayette, TN",47047,31016
"Fentress, TN",47049,16818
"Franklin, TN",47051,39964
"Gibson, TN",47053,47908
"Giles, TN",47055,29365
"Grainger, TN",47057,21077
"Greene, TN",47059,63426
"Grundy, TN",47061,14256
"Hamblen, TN",47063,58395
"Hamilton, TN",47065,314524
"Hancock, TN",47067,6748
"Hardeman, TN",47069,28071
"Hardin, TN",47071,25811
"Hawkins, TN",47073,54505
"Haywood, TN",47075,19547
"Henderson, TN",47077,25767
"Henry, TN",47079,31258
"Hickman, TN",47081,23050
"Houston, TN",47083,7985
"Humphreys, TN",47085,17935
"Jackson, TN",47087,11092
"Jefferson, TN",47089,45737
"Johnson, TN",47091,17720
"Knox, TN",47093,392935
"Lake, TN",47095,7882
"Lauderdale, TN",47097,27075
"Lawrence, TN",47099,40492
"Lewis, TN",47101,11393
"Lincoln, TN",47103,31616
"Loudon, TN",47105,40741
"McMinn, TN",47107,50052
"McNairy, TN",47109,24581
"Macon, TN",47111,20771
"Madison, TN",47113,93483
"Marion, TN",47115,27806
"Marshall, TN",47117,27291
"Maury, TN",47119,71265
"Meigs, TN",47121,11249
"Monroe, TN",47123,40234
"Montgomery, TN",47125,136811
"Moore, TN",47127,5911
"Morgan, TN",47129,19994
"Obion, TN",47131,32229
"Overton, TN",47133,20210
"Perry, TN",47135,7543
"Pickett, TN",47137,5019
"Polk, TN",47139,16007
"Putnam, TN",47141,64205
"Rhea, TN",47143,28829
"Roane, TN",47145,52094
"Robertson, TN",47147,56954
"Rutherford, TN",47149,196074
"Scott, TN",47151,21532
"Sequatchie, TN",47153,11772
"Sevier, TN",47155,74398
"Shelby, TN",47157,902605
"Smith, TN",47159,18096
"Stewart, TN",47161,12679
"Sullivan, TN",47163,152605
"Sumner, TN",47165,136009
"Tipton, TN",47167,53064
"Trousdale, TN",47169,7287
"Unicoi, TN",47171,17612
"Union, TN",47173,18402
"Van Buren, TN",47175,5491
"Warren, TN",47177,38691
"Washington, TN",47179,109294
"Wayne, TN",47181,16965
"Weakley, TN",47183,34208
"White, TN",47185,23554
"Williamson, TN",47187,136335
"Wilson, TN",47189,93035
TEXAS,48000,21710788
"Anderson, TX",48001,54365
"Andrews, TX",48003,12887
"Angelina, TX",48005,80263
"Aransas, TX",48007,23007
"Archer, TX",48009,8882
"Armstrong, TX",48011,2071
"Atascosa, TX",48013,40823
"Austin, TX",48015,24580
"Bailey, TX",48017,6448
"Bandera, TX",48019,18731
"Bastrop, TX",48021,63774
"Baylor, TX",48023,3900
"Bee, TX",48025,31972
"Bell, TX",48027,248009
"Bexar, TX",48029,1439835
"Blanco, TX",48031,8702
"Borden, TX",48033,681
"Bosque, TX",48035,17416
"Bowie, TX",48037,89190
"Brazoria, TX",48039,255306
"Brazos, TX",48041,156870
"Brewster, TX",48043,9097
"Briscoe, TX",48045,1683
"Brooks, TX",48047,7675
"Brown, TX",48049,37813
"Burleson, TX",48051,16561
"Burnet, TX",48053,37305
"Caldwell, TX",48055,34692
"Calhoun, TX",48057,20381
"Callahan, TX",48059,12800
"Cameron, TX",48061,349544
"Camp, TX",48063,11647
"Carson, TX",48065,6488
"Cass, TX",48067,29868
"Castro, TX",48069,7897
"Chambers, TX",48071,26967
"Cherokee, TX",48073,46671
"Childress, TX",48075,7544
"Clay, TX",48077,11321
"Cochran, TX",48079,3487
"Coke, TX",48081,3757
"Coleman, TX",48083,8858
"Collin, TX",48085,568810
"Collingsworth, TX",48087,3101
"Colorado, TX",48089,20363
"Comal, TX",48091,84247
"Comanche, TX",48093,13498
"Concho, TX",48095,3818
"Cooke, TX",48097,37457
"Coryell, TX",48099,73341
"Cottle, TX",48101,1738
"Crane, TX",48103,3867
"Crockett, TX",48105,3858
"Crosby, TX",48107,6854
"Culberson, TX",48109,2812
"Dallam, TX",48111,6094
"Dallas, TX",48113,2280415
"Dawson, TX",48115,14411
"Deaf Smith, TX",48117,18259
"Delta, TX",48119,5432
"Denton, TX",48121,489526
"DeWitt, TX",48123,19977
"Dickens, TX",48125,2698
"Dimmit, TX",48127,10055
"Donley, TX",48129,3849
"Duval, TX",48131,12760
"Eastland, TX",48133,18178
"Ector, TX",48135,121768
"Edwards, TX",48137,2016
"Ellis, TX",48139,119498
"El Paso, TX",48141,688771
"Erath, TX",48143,33315
"Falls, TX",48145,17850
"Fannin, TX",48147,31588
"Fayette, TX",48149,22274
"Fisher, TX",48151,4202
"Floyd, TX",48153,7290
"Foard, TX",48155,1550
"Fort Bend, TX",48157,396554
"Franklin, TX",48159,9624
"Freestone, TX",48161,18314
"Frio, TX",48163,16294
"Gaines, TX",48165,14074
"Galveston, TX",48167,260102
"Garza, TX",48169,4982
"Gillespie, TX",48171,21543
"Glasscock, TX",48173,1332
"Goliad, TX",48175,7009
"Gonzales, TX",48177,18850
"Gray, TX",48179,21762
"Grayson, TX",48181,113256
"Gregg, TX",48183,112403
"Grimes, TX",48185,24634
"Guadalupe, TX",48187,94132
"Hale, TX",48189,35460
"Hall, TX",48191,3712
"Hamilton, TX",48193,7960
"Hansford, TX",48195,5195
"Hardeman, TX",48197,4496
"Hardin, TX",48199,48863
"Harris, TX",48201,3557879
"Harrison, TX",48203,62003
"Hartley, TX",48205,5095
"Haskell, TX",48207,5712
"Hays, TX",48209,111935
"Hemphill, TX",48211,3300
"Henderson, TX",48213,75046
"Hidalgo, TX",48215,607449
"Hill, TX",48217,33349
"Hockley, TX",48219,22575
"Hood, TX",48221,43635
"Hopkins, TX",48223,32266
"Houston, TX",48225,22980
"Howard, TX",48227,32970
"Hudspeth, TX",48229,3312
"Hunt, TX",48231,79774
"Hutchinson, TX",48233,23023
"Irion, TX",48235,1740
"Jack, TX",48237,8825
"Jackson, TX",48239,14229
"Jasper, TX",48241,35465
"Jeff Davis, TX",48243,2180
"Jefferson, TX",48245,248274
"Jim Hogg, TX",48247,5152
"Jim Wells, TX",48249,39939
"Johnson, TX",48251,134816
"Jones, TX",48253,19977
"Karnes, TX",48255,15229
"Kaufman, TX",48257,77743
"Kendall, TX",48259,25169
"Kenedy, TX",48261,420
"Kent, TX",48263,802
"Kerr, TX",48265,44654
"Kimble, TX",48267,4498
"King, TX",48269,309
"Kinney, TX",48271,3397
"Kleberg, TX",48273,31194
"Knox, TX",48275,3950
"Lamar, TX",48277,48752
"Lamb, TX",48279,14525
"Lampasas, TX",48281,18682
"La Salle, TX",48283,5828
"Lavaca, TX",48285,18930
"Lee, TX",48287,16135
"Leon, TX",48289,15755
"Liberty, TX",48291,73264
"Limestone, TX",48293,22273
"Lipscomb, TX",48295,2996
"Live Oak, TX",48297,11919
"Llano, TX",48299,17707
"Loving, TX",48301,66
"Lubbock, TX",48303,248910
"Lynn, TX",48305,6367
"McCulloch, TX",48307,7838
"McLennan, TX",48309,217272
"McMullen, TX",48311,827
"Madison, TX",48313,12741
"Marion, TX",48315,10933
"Martin, TX",48317,4635
"Mason, TX",48319,3742
"Matagorda, TX",48321,37795
"Maverick, TX",48323,48315
"Medina, TX",48325,40486
"Menard, TX",48327,2326
"Midland, TX",48329,116953
"Milam, TX",48331,24893
"Mills, TX",48333,5055
"Mitchell, TX",48335,9416
"Montague, TX",48337,19115
"Montgomery, TX",48339,326872
"Moore, TX",48341,19947
"Morris, TX",48343,13102
"Motley, TX",48345,1331
"Nacogdoches, TX",48347,59508
"Navarro, TX",48349,46631
"Newton, TX",48351,14773
"Nolan, TX",48353,15048
"Nueces, TX",48355,312891
"Ochiltree, TX",48357,9013
"Oldham, TX",48359,2127
"Orange, TX",48361,83882
"Palo Pinto, TX",48363,27056
"Panola, TX",48365,22845
"Parker, TX",48367,93961
"Parmer, TX",48369,9825
"Pecos, TX",48371,16284
"Polk, TX",48373,44136
"Potter, TX",48375,115809
"Presidio, TX",48377,7492
"Rains, TX",48379,10057
"Randall, TX",48381,105859
"Reagan, TX",48383,3116
"Real, TX",48385,2943
"Red River, TX",48387,13927
"Reeves, TX",48389,12415
"Refugio, TX",48391,7632
"Roberts, TX",48393,847
"Robertson, TX",48395,15840
"Rockwall, TX",48397,50819
"Runnels, TX",48399,10958
"Rusk, TX",48401,47406
"Sabine, TX",48403,10401
"San Augustine, TX",48405,8874
"San Jacinto, TX",48407,23154
"San Patricio, TX",48409,66960
"San Saba, TX",48411,6049
"Schleicher, TX",48413,2899
"Scurry, TX",48415,15864
"Shackelford, TX",48417,3323
"Shelby, TX",48419,25458
"Sherman, TX",48421,3140
"Smith, TX",48423,180546
"Somervell, TX",48425,7092
"Starr, TX",48427,55862
"Stephens, TX",48429,9354
"Sterling, TX",48431,1357
"Stonewall, TX",48433,1473
"Sutton, TX",48435,4073
"Swisher, TX",48437,8017
"Tarrant, TX",48439,1523284
"Taylor, TX",48441,125341
"Terrell, TX",48443,1019
"Terry, TX",48445,12476
"Throckmorton, TX",48447,1739
"Titus, TX",48449,28064
"Tom Green, TX",48451,104041
"Travis, TX",48453,852965
"Trinity, TX",48455,13963
"Tyler, TX",48457,20559
"Upshur, TX",48459,36536
"Upton, TX",48461,3232
"Uvalde, TX",48463,26423
"Val Verde, TX",48465,45480
"Van Zandt, TX",48467,49947
"Victoria, TX",48469,84867
"Walker, TX",48471,61656
"Waller, TX",48473,33960
"Ward, TX",48475,10351
"Washington, TX",48477,30735
"Webb, TX",48479,205096
"Wharton, TX",48481,40937
"Wheeler, TX",48483,4971
"Wichita, TX",48485,130128
"Wilbarger, TX",48487,14273
"Willacy, TX",48489,19823
"Williamson, TX",48491,289810
"Wilson, TX",48493,33974
"Winkler, TX",48495,6899
"Wise, TX",48497,52500
"Wood, TX",48499,37916
"Yoakum, TX",48501,7177
"Young, TX",48503,17601
"Zapata, TX",48505,12636
"Zavala, TX",48507,11586
UTAH,49000,2334473
"Beaver, UT",49001,6040
"Box Elder, UT",49003,44522
"Cache, UT",49005,97277
"Carbon, UT",49007,19745
"Daggett, UT",49009,888
"Davis, UT",49011,249835
"Duchesne, UT",49013,14796
"Emery, UT",49015,10553
"Garfield, UT",49017,4550
"Grand, UT",49019,8716
"Iron, UT",49021,35648
"Juab, UT",49023,8473
"Kane, UT",49025,5994
"Millard, UT",49027,12222
"Morgan, UT",49029,7400
"Piute, UT",49031,1387
"Rich, UT",49033,1928
"Salt Lake, UT",49035,924534
"San Juan, UT",49037,13776
"Sanpete, UT",49039,23230
"Sevier, UT",49041,18948
"Summit, UT",49043,31763
"Tooele, UT",49045,45577
"Uintah, UT",49047,26173
"Utah, UT",49049,397269
"Wasatch, UT",49051,16735
"Washington, UT",49053,99432
"Wayne, UT",49055,2514
"Weber, UT",49057,204548
VERMONT,50000,614950
"Addison, VT",50001,36288
"Bennington, VT",50003,36938
"Caledonia, VT",50005,29872
"Chittenden, VT",50007,148795
"Essex, VT",50009,6525
"Franklin, VT",50011,46472
"Grand Isle, VT",50013,7244
"Lamoille, VT",50015,23925
"Orange, VT",50017,28653
"Orleans, VT",50019,26561
"Rutland, VT",50021,63246
"Washington, VT",50023,58768
"Windham, VT",50025,43985
"Windsor, VT",50027,57678
VIRGINIA,51000,7283541
"Accomack, VA",51001,38593
"Albemarle, VA",51003,86366
"Alleghany, VA",51005,16914
"Amelia, VA",51007,11622
"Amherst, VA",51009,31756
"Appomattox, VA",51011,13668
"Arlington, VA",51013,195469
"Augusta, VA",51015,66476
"Bath, VA",51017,4996
"Bedford, VA",51019,61356
"Bland, VA",51021,6826
"Botetourt, VA",51023,31058
"Brunswick, VA",51025,18256
"Buchanan, VA",51027,25945
"Buckingham, VA",51029,15674
"Campbell, VA",51031,51397
"Caroline, VA",51033,22496
"Carroll, VA",51035,29221
"Charles City, VA",51036,7023
"Charlotte, VA",51037,12467
"Chesterfield, VA",51041,269390
"Clarke, VA",51043,13091
"Craig, VA",51045,5046
"Culpeper, VA",51047,36663
"Cumberland, VA",51049,9045
"Dickenson, VA",51051,16134
"Dinwiddie, VA",51053,24650
"Essex, VA",51057,10093
"Fairfax, VA",51059,989551
"Fauquier, VA",51061,59224
"Floyd, VA",51063,14163
"Fluvanna, VA",51065,22070
"Franklin, VA",51067,48268
"Frederick, VA",51069,62796
"Giles, VA",51071,16806
"Gloucester, VA",51073,35656
"Goochland, VA",51075,17606
"Grayson, VA",51077,16638
"Greene, VA",51079,16287
"Greensville, VA",51081,11524
"Halifax, VA",51083,36658
"Hanover, VA",51085,91494
"Henrico, VA",51087,268224
"Henry, VA",51089,57103
"Highland, VA",51091,2445
"Isle of Wight, VA",51093,30644
"James City, VA",51095,51326
"King and Queen, VA",51097,6560
"King George, VA",51099,17749
"King William, VA",51101,13669
"Lancaster, VA",51103,11426
"Lee, VA",51105,24145
"Loudoun, VA",51107,203122
"Louisa, VA",51109,27009
"Lunenburg, VA",51111,13081
"Madison, VA",51113,12929
"Mathews, VA",51115,9183
"Mecklenburg, VA",51117,32282
"Middlesex, VA",51119,10020
"Montgomery, VA",51121,85089
"Nelson, VA",51125,14698
"New Kent, VA",51127,14194
"Northampton, VA",51131,12967
"Northumberland, VA",51133,12593
"Nottoway, VA",51135,15730
"Orange, VA",51137,27174
"Page, VA",51139,23317
"Patrick, VA",51141,19090
"Pittsylvania, VA",51143,61356
"Powhatan, VA",51145,24092
"Prince Edward, VA",51147,20063
"Prince George, VA",51149,35152
"Prince William, VA",51153,310048
"Pulaski, VA",51155,34821
"Rappahannock, VA",51157,7213
"Richmond, VA",51159,8921
"Roanoke, VA",51161,86341
"Rockbridge, VA",51163,20762
"Rockingham, VA",51165,69084
"Russell, VA",51167,28825
"Scott, VA",51169,22962
"Shenandoah, VA",51171,36377
"Smyth, VA",51173,32731
"Southampton, VA",51175,17291
"Spotsylvania, VA",51177,101878
"Stafford, VA",51179,103703
"Surry, VA",51181,6898
"Sussex, VA",51183,12037
"Tazewell, VA",51185,43947
"Warren, VA",51187,32801
"Washington, VA",51191,51259
"Westmoreland, VA",51193,16627
"Wise, VA",51195,41756
"Wythe, VA",51197,27633
"York, VA",51199,59143
"Alexandria, VA",51510,134500
"Bedford, VA",51515,6290
"Bristol, VA",51520,17101
"Buena Vista, VA",51530,6280
"Charlottesville, VA",51540,41171
"Chesapeake, VA",51550,204635
"Clifton Forge, VA",51560,0
"Colonial Heights, VA",51570,17099
"Covington, VA",51580,6358
"Danville, VA",51590,47280
"Emporia, VA",51595,5705
"Fairfax, VA",51600,22095
"Falls Church, VA",51610,10596
"Franklin, VA",51620,8124
"Fredericksburg, VA",51630,20294
"Galax, VA",51640,6668
"Hampton, VA",51650,145019
"Harrisonburg, VA",51660,42159
"Hopewell, VA",51670,22468
"Lexington, VA",51678,6877
"Lynchburg, VA",51680,64992
"Manassas, VA",51683,35821
"Manassas Park, VA",51685,10881
"Martinsville, VA",51690,15052
"Newport News, VA",51700,185011
"Norfolk, VA",51710,240378
"Norton, VA",51720,3856
"Petersburg, VA",51730,33019
"Poquoson, VA",51735,11625
"Portsmouth, VA",51740,99569
"Radford, VA",51750,15892
"Richmond, VA",51760,198480
"Roanoke, VA",51770,93354
"Salem, VA",51775,24791
"South Boston, VA",51780,0
"Staunton, VA",51790,23884
"Suffolk, VA",51800,69296
"Virginia Beach, VA",51810,430520
"Waynesboro, VA",51820,20216
"Williamsburg, VA",51830,11631
"Winchester, VA",51840,24632
WASHINGTON,53000,6056187
"Adams, WA",53001,16325
"Asotin, WA",53003,20511
"Benton, WA",53005,149718
"Chelan, WA",53007,66927
"Clallam, WA",53009,65819
"Clark, WA",53011,368690
"Columbia, WA",53013,4016
"Cowlitz, WA",53015,94313
"Douglas, WA",53017,33017
"Ferry, WA",53019,7261
"Franklin, WA",53021,52831
"Garfield, WA",53023,2265
"Grant, WA",53025,77129
"Grays Harbor, WA",53027,68313
"Island, WA",53029,75603
"Jefferson, WA",53031,27182
"King, WA",53033,1763669
"Kitsap, WA",53035,235499
"Kittitas, WA",53037,34777
"Klickitat, WA",53039,19132
"Lewis, WA",53041,69349
"Lincoln, WA",53043,10048
"Mason, WA",53045,50701
"Okanogan, WA",53047,38849
"Pacific, WA",53049,20551
"Pend Oreille, WA",53051,11972
"Pierce, WA",53053,728555
"San Juan, WA",53055,14616
"Skagit, WA",53057,106208
"Skamania, WA",53059,9879
"Snohomish, WA",53061,629671
"Spokane, WA",53063,427045
"Stevens, WA",53065,40020
"Thurston, WA",53067,216607
"Wahkiakum, WA",53069,3792
"Walla Walla, WA",53071,55903
"Whatcom, WA",53073,174980
"Whitman, WA",53075,41050
"Yakima, WA",53077,223394
WEST VIRGINIA,54000,1799411
"Barbour, WV",54001,15415
"Berkeley, WV",54003,81087
"Boone, WV",54005,25522
"Braxton, WV",54007,14677
"Brooke, WV",54009,25071
"Cabell, WV",54011,95549
"Calhoun, WV",54013,7332
"Clay, WV",54015,10291
"Doddridge, WV",54017,7433
"Fayette, WV",54019,46970
"Gilmer, WV",54021,6999
"Grant, WV",54023,11289
"Greenbrier, WV",54025,34442
"Hampshire, WV",54027,20807
"Hancock, WV",54029,31855
"Hardy, WV",54031,12826
"Harrison, WV",54033,67809
"Jackson, WV",54035,28039
"Jefferson, WV",54037,44692
"Kanawha, WV",54039,196033
"Lewis, WV",54041,16927
"Lincoln, WV",54043,22191
"Logan, WV",54045,36799
"McDowell, WV",54047,25781
"Marion, WV",54049,56160
"Marshall, WV",54051,34827
"Mason, WV",54053,25928
"Mercer, WV",54055,61982
"Mineral, WV",54057,27112
"Mingo, WV",54059,27462
"Monongalia, WV",54061,83370
"Monroe, WV",54063,13312
"Morgan, WV",54065,15230
"Nicholas, WV",54067,26134
"Ohio, WV",54069,46163
"Pendleton, WV",54071,7959
"Pleasants, WV",54073,7566
"Pocahontas, WV",54075,8937
"Preston, WV",54077,29428
"Putnam, WV",54079,52086
"Raleigh, WV",54081,78851
"Randolph, WV",54083,28303
"Ritchie, WV",54085,10303
"Roane, WV",54087,15287
"Summers, WV",54089,13909
"Taylor, WV",54091,15985
"Tucker, WV",54093,7227
"Tyler, WV",54095,9354
"Upshur, WV",54097,23328
"Wayne, WV",54099,42409
"Webster, WV",54101,9671
"Wetzel, WV",54103,17183
"Wirt, WV",54105,5797
"Wood, WV",54107,87597
"Wyoming, WV",54109,24715
WISCONSIN,55000,5446766
"Adams, WI",55001,20345
"Ashland, WI",55003,16793
"Barron, WI",55005,45442
"Bayfield, WI",55007,15063
"Brown, WI",55009,232059
"Buffalo, WI",55011,13742
"Burnett, WI",55013,15990
"Calumet, WI",55015,42544
"Chippewa, WI",55017,56083
"Clark, WI",55019,33566
"Columbia, WI",55021,53140
"Crawford, WI",55023,16980
"Dane, WI",55025,443430
"Dodge, WI",55027,86641
"Door, WI",55029,28212
"Douglas, WI",55031,43630
"Dunn, WI",55033,40785
"Eau Claire, WI",55035,94778
"Florence, WI",55037,5102
"Fond du Lac, WI",55039,97821
"Forest, WI",55041,9878
"Grant, WI",55043,49197
"Green, WI",55045,34031
"Green Lake, WI",55047,19128
"Iowa, WI",55049,23000
"Iron, WI",55051,6743
"Jackson, WI",55053,19283
"Jefferson, WI",55055,76678
"Juneau, WI",55057,24918
"Kenosha, WI",55059,153904
"Kewaunee, WI",55061,20349
"La Crosse, WI",55063,108368
"Lafayette, WI",55065,16136
"Langlade, WI",55067,20721
"Lincoln, WI",55069,29785
"Manitowoc, WI",55071,82049
"Marathon, WI",55073,126299
"Marinette, WI",55075,43198
"Marquette, WI",55077,14661
"Menominee, WI",55078,4627
"Milwaukee, WI",55079,948363
"Monroe, WI",55081,41429
"Oconto, WI",55083,36339
"Oneida, WI",55085,36811
"Outagamie, WI",55087,165593
"Ozaukee, WI",55089,83577
"Pepin, WI",55091,7319
"Pierce, WI",55093,37474
"Polk, WI",55095,42532
"Portage, WI",55097,67485
"Price, WI",55099,15388
"Racine, WI",55101,191469
"Richland, WI",55103,17829
"Rock, WI",55105,153509
"Rusk, WI",55107,15129
"St. Croix, WI",55109,68121
"Sauk, WI",55111,55767
"Sawyer, WI",55113,16462
"Shawano, WI",55115,40789
"Sheboygan, WI",55117,112964
"Taylor, WI",55119,19587
"Trempealeau, WI",55121,27057
"Vernon, WI",55123,28208
"Vilas, WI",55125,21739
"Walworth, WI",55127,95154
"Washburn, WI",55129,16374
"Washington, WI",55131,120537
"Waukesha, WI",55133,368625
"Waupaca, WI",55135,52176
"Waushara, WI",55137,24318
"Winnebago, WI",55139,158431
"Wood, WI",55141,75112
WYOMING,56000,497069
"Albany, WY",56001,32275
"Big Horn, WY",56003,11186
"Campbell, WY",56005,35869
"Carbon, WY",56007,15224
"Converse, WY",56009,12156
"Crook, WY",56011,5867
"Fremont, WY",56013,35801
"Goshen, WY",56015,12218
"Hot Springs, WY",56017,4711
"Johnson, WY",56019,7354
"Laramie, WY",56021,83144
"Lincoln, WY",56023,14644
"Natrona, WY",56025,67371
"Niobrara, WY",56027,2247
"Park, WY",56029,25740
"Platte, WY",56031,8694
"Sheridan, WY",56033,26871
"Sublette, WY",56035,6144
"Sweetwater, WY",56037,36831
"Teton, WY",56039,18727
"Uinta, WY",56041,19567
"Washakie, WY",56043,7890
"Weston, WY",56045,6538
